id;companyId;containerId;createdAt;customer;displayId;engineId;engineName;engineType;extraInfo;integrated;integrationId;isTest;orderTiming;orderType;salesChannel;scheduledAt;status;preparationTime;takeOutTimeInSeconds;totalAmount;updatedAt;version;generatedByCampaign
1;CANNOLI_STORE_01;DKKX0961;2024-02-05T21:31:56;1404;CUYRIX;TPUGSU;DirectOrder;POS;;True;4677;True;IMMEDIATE;DELIVERY;IFOOD;;CONCLUDED;50;3894;61.11;2024-02-05T22:21:56;v3.3.1;False
2;CANNOLI_STORE_01;RFDD4564;2025-08-24T21:13:45;894;QLASJY;QNZWIS;DirectOrder;WEB;;True;4353;True;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;31;2968;96.01;2025-08-24T21:44:45;v3.5.3;False
3;CANNOLI_STORE_01;UUCR2161;2025-02-24T12:40:52;32;QLZHOO;EUQKJL;DirectOrder;WEB;;False;3743;True;IMMEDIATE;TAKEOUT;PDV;;CONCLUDED;54;3571;103.12;2025-02-24T13:34:52;v3.2.7;False
4;CANNOLI_STORE_01;FHNZ6787;2025-06-07T19:50:19;227;XLKULM;EMNGHT;KDSPro;POS;;True;2463;False;IMMEDIATE;DELIVERY;99FOOD;;CONCLUDED;37;2750;70.26;2025-06-07T20:27:19;v2.1.7;False
5;CANNOLI_STORE_01;HEGI5676;2025-11-01T15:00:08;544;WFZCTS;NDKNGR;DirectOrder;POS;;False;6615;True;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;57;4606;60.86;2025-11-01T15:57:08;v1.8.3;False
6;CANNOLI_STORE_01;JNMX1615;2024-11-08T11:58:22;26;MXXWCD;MCKSPF;KDSPro;APP;Impedit explicabo molestias.;False;7127;True;IMMEDIATE;DELIVERY;99FOOD;;CONCLUDED;35;3172;97.93;2024-11-08T12:33:22;v2.1.1;False
7;CANNOLI_STORE_01;ELGP2503;2025-09-08T15:42:14;373;MHFKZM;YWHXVN;DirectOrder;POS;;False;9644;False;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;50;4129;99.99;2025-09-08T16:32:14;v3.6.9;False
8;CANNOLI_STORE_01;MWKB2421;2025-06-01T08:41:02;245;TVMIFL;INPTFT;DirectOrder;WEB;;False;4966;True;IMMEDIATE;INDOOR;PDV;;CONCLUDED;59;4514;50.76;2025-06-01T09:40:02;v1.4.1;False
9;CANNOLI_STORE_01;QHBZ1509;2025-09-16T20:58:00;671;SDVEFM;BJPIOY;DirectOrder;APP;Dolore ullam est necessitatibus.;False;6439;True;IMMEDIATE;DELIVERY;99FOOD;;CONCLUDED;60;4301;25.15;2025-09-16T21:58:00;v2.6.4;False
10;CANNOLI_STORE_01;ODRY0405;2024-12-18T19:18:29;27;TLCVRU;UTTWRZ;KDSPro;APP;;False;3450;True;IMMEDIATE;DELIVERY;99FOOD;;CONCLUDED;27;1993;30.27;2024-12-18T19:45:29;v2.3.7;False
11;CANNOLI_STORE_01;WZIJ0906;2024-06-25T18:44:06;1308;DLMEBW;DQXDIM;KDSPro;POS;;True;6913;True;IMMEDIATE;DELIVERY;IFOOD;;CONCLUDED;34;2923;60.2;2024-06-25T19:18:06;v1.5.3;False
12;CANNOLI_STORE_01;XETG4659;2025-05-24T19:58:26;727;MMMXEW;EXQXJI;DirectOrder;WEB;;True;2972;False;IMMEDIATE;TAKEOUT;PDV;;CONCLUDED;55;4165;47.72;2025-05-24T20:53:26;v1.7.1;False
